Titulo,Autor,Editorial,Anio,Pais,Prestado
La silla del águila,"Fuentes, C.",Santillana,2004,España,No
Psicología de la vida cotidiana,"Pichon-Riviere, E. ; Pampliega, A.",Nueva Visión,1985,Argentina,No
El cumpleaños de Juan Ángel,"Benedetti, M.",Biblioteca de Marcha,1971,Uruguay,No
Los senderos de Foucault,"Abraham, T.",Nueva Visión,1989,Argentina,No
Los laberintos de la crisis. América Latina: poder transnacional y comunicaciones,"Argumedo, A.",Folios Ediciones,1984,Argentina,No
Isidro Velázquez. Formas pre revolucionarias de la violencia,"Carri, R.",Sudestada,1968,Argentina,No
La noche de los bastones largos. 30 años después,"Morero, S.",Página 12,1996,Argentina,No
Los paraísos artificiales. EL vino y el hachís. La Fanfarlo,"Baudelaire, C.",M. E. Editores,1994,España,No
Palabra de autor: Cartas de Julio Cortázar,"Cortázar, J.",Alfaguara,2004,Argentina,No
Iluminaciones,"Rimbaud, A.",NEED,1999,Argentina,No
El vecindario urbano: una perspectiva sociológica,"Keller, S.",Siglo XXI,1975,España,No
"Obras inmortales (Así habla zaratrusta, El anticristo, Cómo se filosofa a martillazos, Más allá del bien y del mal, Humano demasiado humano, La voluntad del poderío)","Nietzsche, F.",EDAF,1968,España,No
Elogio de la desobediencia,"Brauman, R. ; Sivan, E.",Fondo de Cultura Económica,2000,Argentina,No
Los 70 a destajo: ajoblanco y libertad,"Ribas, J.",Emecé,2007,Argentina,Si
Mirar con nuevos ojos: Nuevos paradigmas en la ciencia y pensamiento complejo,"Najmanovich, D.",Biblos,2008,Argentina,Si
Crónicas del Ángel Gris,"Dolina, A.",Colihue,2008,Argentina,Si
Los pibes chorros: estigma y marginación,"Míguez, D.",Capital Intelectual,2004,Argentina,No
La comunicación municipal cómplice con los ciudadanos,"Puig, T.",Paidós,2003,Argentina,No
Amor y Anarquía,"Caparrós, M.",Planeta,2010,Argentina,No
Harpías y Nereidas: pasiones y muertes en los setenta,"Bufano, S.",Losada,2007,Argentina,No
El autorretrato en el documental,"Schefer, R.",Catálogos,2008,Argentina,No
Biografía de mi cáncer,"Kolesnicov, P.",Sudamericana,2002,Argentina,No
El mundo en la nueva era imperial,"Ramonet, I.",Le Monde Diplomatique ,2002,Argentina,No
Crímenes Imperceptibles,"Martínez, G.",Planeta,2008,Argentina,Si
Bibliocastía,"Solari, T.; Gómez, J.",Eudeba,2008,Argentina,No
Razón y Violencia: Una década de pensamiento sartreano,"Laing, R.; Cooper, D.",Paidós,1973,Argentina,No
Se acabó la diversión,"Puig, T.",Paidós,2007,Argentina,No
Homo Faber,"Benavente, D.","OIT, PREALC",1988,Chile,No
Desempleo y bienestar psicológico,"Estramiana, J.",Siglo XXI,1992,España,No
"Organismos, estructuras, máquinas: Para una teoría del organismo","Wieser, W.",Eudeba,1962,Argentina,No
Saber popular y educación en América Latina,"Hernández, I. et al",Búsqueda S.A.E.I.C.,1985,Argentina,No
"Territorio, conocimiento y competitividad de las empresas","Boscherini, F. ; Poma, L.",Miño y Dávila,2000,España,No
En la frontera: Trabajos de Psicoanálisis y Socioanálisis,"Rodríguez, J.",Multiplicidades,1995,Argentina,No
Y tú también te vas: Argentina y el dinero,"Ávila, P.",Adriana Hidalgo,2007,Argentina,No
Red de redes: Las prácticas de la intervención en redes sociales,"Dabas, E.",Paidós,1998,Argentina,No
Cuando el verbo se hace carne: Lenguaje y naturaleza humana,"Virno, P.",Tinta Limón,2004,Argentina,No
Historia de las madres de Plaza de Mayo,Asociación de Madres de Plaza de Mayo,Página 12,1996,Argentina,No
Ventana Sur: Connecting with the Latin American Film Industry,INCAA,INCAA,2008,Argentina,No
La comunicación global: Comunicación institucional y de gestión,"Weil, P.",Paidós,1992,Argentina,No
Monte madre: Heróica historia de compromiso y dignidad,"Miceli, J.","Miceli, J.",2006,Argentina,No
El juego de los vínculos. Subjetividad y Redes: Figuras en mutación,"Najmanovich, D.",Biblos,2005,Argentina,No
"Los libros son tuyos. Políticos, académicos y militares: La dictadura en Eudeba","Invernizzi, H.",Eudeba,2005,Argentina,No
Mitología Griega,"Railos, S.",CRM,2005,España,No
El cuenco de las ciudades mestizas: una historia del gran buenos aires,El Culebrón Timbal,Productora Escuela Cultural Comunitaria,-,Argentina,No
Ramonet: el mundo en la nueva era imperial. Converaciones con Jorge Halperín,"Halperín, J.",Le Monde Diplomatique ,2002,Argentina,No
Dulce pájaro de la juventud. Escaleras al techo. El cuaderno de Trigorin,"Williams, T.",Losada,2004,Argentina,No
Breve tratado para atacar la realidad,"López, S.",Tinta Limón,2009,Argentina,No
Juicio final,"Katzenbach, J.",Ediciones B,2006,España,No
Generación de empleo: la microempresa como alternativa,"Rofman, A. ; Moreno, G.",CEUR,1988,Argentina,No
Situaciones postales,"Abraham, T.",Anagrama,2002,España,No
El dolor de ya no ser: de los abuelos a nosotros,"Santore, M.",Gráfica Buenos Aires,2002,Argentina,No
Neocapitalismo y comunicación de masa,"Muraro, H.",Eudeba,1974,Argentina,No
Raro,"Prado, B.",Plaza y Janes,1995,España,No
El mundo del trabajo urbano (1890-1914),"Falcón, R.",Centro Editor de América Latina,1986,Argentina,No
La vida sexual de Catherine M.,"Millet, C.",Quinteto,2005,España,No
Las venas abiertas de América Latina,"Galeano, E.",Siglo XXI,1974,Argentina,No
Películas que escuchan: Reconstrucción de la identidad en once films chilenos y argentinos,"Donoso, C.",Corregidor,2007,Argentina,No
Movimientos del pensar. Diarios.,"Wittgenstein, L.",Elsa Somavilla,2000,España,No
Tratado político: introducción y notas de Ernesto Funes,"de Espinoza, B.",Quadrata,2005,Argentina,No
Juvenilia,"Cané, M.",Colihue,2000,Argentina,No
La otra juvenilia,"Garaño, S. ; Pertot, W.",Biblos,2002,Argentina,No
Que sigan los éxitos,"Paz y Rudy, D.",Página 12,1996,Argentina,No
Lo imaginario,"Sartre, J.",Losada,1982,Argentina,No
Buenos Aires negra. Identidad y cultura,"Maronese, L.",gobBsAs,2006,Argentina,No
Etimología de las pasiones,"Bordelois, I.",Zorzal,2006,Argentina,Si
Expedientes secretos,"Paz y Rudy, D.",Página 12,1997,Argentina,No
Los fundadores: crónicas y poemas de la colonia,-,Centro Editor de América Latina,1967,Argentina,No
Quemando cromo,"Gibson, W.",Minotauro,1994,España,Si
Cine y dictadura: la censura al desnudo,"Gociol, J. ; Invernizzi, H.",Capital Intelectual,2006,Argentina,No
La generación Nasdaq: Apogeo (¿y derrumbe?) de la economía digital,"Piscitelli, A.",Granica,2001,Argentina,No
Testimonio de la realidad de la ilusión,"Brabazon, F.",Francis Brabazon,2006,Argentina,No
Comunicaciones públicas: el modelo de la comunicación integrada,"Amado, A. ; Castro, C.",Temas Grupo Editorial,1998,Argentina,No
Cine: un lugar para el amor,"Farina, A.",Marcelo H. Oliveri Editor,2010,Argentina,No
Durango Perdido: Diario de rodaje de Perdita Durango,"Bardem, C.",Ediciones B,1997,España,No
Comunicación de masas,"Wright, C.",Paidós,1980,Argentina,No
Contribución de la televisión argentina al subdesarrollo,"de Zavaleta, E.",Editorial Cuarto Mundo,1975,Argentina,No
Cuentos para después del diván,"Hazaki, C.",Editorial Topia,2006,Argentina,No
Epitafios: El derecho a la muerte escrita,"Gusmán, L.",Grupo Editorial Norma,2005,Argentina,No
"Pobreza, un tema impostergable: nuevas respuestas a nivel mundial","Kliksberg, B.",Fondo de Cultura Económica,1993,México,No
Del fragmento a la situación: Notas sobre la subjetividad contemporánea,Grupo Doce,Grupo Doce,2001,Argentina,No
Hacia una gestión pariticpativa y eficaz,"Burin, D. ; Karl, I. ; Levin, L.",Ediciones Ciccus,1995,Argentina,No
"Propuestas, debates y ponencias: ""El empleo: una cuestión de Estado""",1er Congreso Nacional de Empleo y Capacitación Laboral,MTSS,1999,Argentina,No
La era de la desolación: ética y moral en la Argentina de fin de siglo,"Scavino, D.",Ediciones Manantial,1996,Argentina,No
Los sueños nucleares de Reagan,"Dorfman, A.",Legasa,1986,Argentina,No
"Seminario Gestao Democrática das Cidades: Metodologías de participación, redes y movimientos sociales",PPGA/FLACSO,PPGA/FLACSO,2002,Brasil,No
Acontecimiento: Revista para pensar la política. Número 26,"Badiou, A.",Grupo Acontecimiento,2003,Argentina,No
Identidad cultural y cambio tecnológico en América Latina,"Azcuy, E.",Centro de Estudios Latinoamericanos,1985,Argentina,No
Comunicación social y desarrollo nacional América Latina,"Getino, O.",Centro de estudios para la comunicación popular,1983,México,No
"Turismo, comunicación social y desarrollo","Getino, O.",Edimedios,1983,México,No
Vigilar y castigar: nacimiento de la prisión,"Foucault, M.",Siglo XXI,1987,México,No
El grupo y sus configuraciones: terapia psicoanalítica,"Puget, J. ; Bernard, M. ; Games, G. ; Romano, E.",Lugar Editorial,1982,Argentina,No
Antropología del cuerpo y modernidad,"Le Breton, D.",Nueva Visión,2006,Argentina,No
Todos eran mi hijos. Después de la caída.,"Miller, A.",Losada,2004,Argentina,No
Conversaciones con Enrique Pichon-Riviere: Sobre el arte y la locura,"Zito Lema, V.",Ediciones Cinco,1986,Argentina,No
Algo va a pasar,"Esber, H.",De la campana,2002,Argentina,No
Hijo de Dios,"McCarthy, C.",Editorial Debate,2001,España,No
Iniciativa empresarial y desarrollo económico local: recomendaciones para la aplicación de programas y políticas,OCDE,OCDE,2003,España,No
El traductor,"Benesdra, S.",Ediciones La Flor,2003,España,No
Libro blanco sobre el empleo en Argentina,MTSS,MTSS,1995,Argentina,No
Políticas de la memoria: tensiones en la palabra y la imagen,"Lorenzano, S. ; Buchenhorst, R.",Editorial Gorla,2007,Argentina,No
Las políticas de migraciones internacionales,"Mármora, L.",Paidós,2004,Argentina,No
"Desocupación: Individuo, familia, sociedad",FUNDAIH,FUNDAIH,1996,Argentina,No
Antología Poética,"Ferlinghetti, L.",Ediciones del Mediodía,1969,Argentina,No
Atardeceres,"Jitrik, N.",Ediciones al Margen,2006,Argentina,No
Para un análisis ideológico del periodismo,"Claro, M.",Editorial Precursora,1983,Argentina,No
Periodismo y cultura,Varios,Tercer Mundo Editores,1991,Colombia,No
Televisión: la realidad como espectáculo,"Colombo, F.",Editorial Gustavo Gili,1976,España,No
La comunicación masiva en el proceso de liberación,"Matterlart, A.",Siglo XXI,1974,Argentina,No
Problemas de comunicación y desarrollo,"Aprea, G.",Prometeo Libros,2004,Argentina,No
Formación y empleo: estrategias posibles,"del Río, E. ; Jover, D. ; Riesco, L.",Paidós,1991,España,No
Teorías de la comunicación masiva,"De Fleur, M.",Paidós,1980,Argentina,No
Traiciones: la figura del traidor en los relatos acerca de los sobrevivientes de la represión,"Longoni, A.",Grupo Editorial Norma,2007,Argentina,No
Una Argentina posible: Problemas políticos y recursos económicos,"Calcagno, E. ; Calcagno, A.",Le Monde Diplomatique ,2004,Argentina,No
El Estado y sus otros,"Calveiro, P.",Libros de la Araucaria,2006,Argentina,No
La cultura de la satisfacción,"Kenneth, J.",Emecé,1992,Argentina,No
La vida en la pantalla: La construcción de la identidad en la er de internet,"Turkle, S.",Paidós,1997,España,No
Esbozo de una antropología filosófica americana,"Kusch, R.",Castañeda,1978,Argentina,No
Acción municipal y microempresa,"González, M. ; Hidalgo, L.",PET,1995,Chile,No
Antología de ensayos en vivo. Volúmen 1.,Ensayos en Libro,Ensayos en Libro,2009,Argentina,No
Sólo las cosas,"Valle, A.",Ensayos en Libro,2008,Argentina,No
Las bodas universales,"Huasi, J.",-,1962,-,No
Cuando ya no importe,"Onetti, J.",Punto de Lectura,2008,Argentina,No
"Pobreza, el drama cotidiano. Clave para una nueva gerencia social eficiente.","Kliksberg, B.",Grupo Editorial Norma,1995,Argentina,No
El mundo como supermercado,"Houllebecq, M.",Anagrama,2000,España,No
"Corrupción, crimen y violencia","Schargrodsky, E. ; Cornblit, O. ; Canavese, A.",La Crujía Ediciones,2004,Argentina,No
Nuevas tecnologías y desempleo,"Sylos, P.",Fondo de Cultura Económica,1993,México,No
Sin trabajo: las características del desempleo y sus efectos en la sociedad argentina,"Beccaria, L. ; López, N.",Losada,1996,Argentina,No
Los efectos de las comunicaciones de masas,"Eco, U. ; Friedmann, G. ; Halloran, J.",Editorial Jorge Álvarez,1969,Argentina,No
Periodismo escolar,"Fischer, R.",Editorial Biblioteca,1975,Argentina,No
"Medio ambiente y urbanización: Microempresas, crédito y medio ambiente.",IIED-AL,IIED-AL,1995,Argentina,No
Las verdades que mienten: una análisis de la ideología represiva de los textos para niños,"Bonazzi, M. ; Eco, U.",Editorial Tiempo Contemporáneo,1974,Argentina,No
